sim,sample_size,sensitivity,specificity,misrate,p,p_min,p_max,overall_or,or_t,theta0,theta1_true,theta1,virus
10000,107,0.975,0.975,0,0.1095,0.103378661412858,0.115621338587142,0.869303797468354,0.8375,0.373831775700935,0.333333333333334,0.341666666666667,CMV
10000,107,0.975,0.975,0.01,0.1071,0.101037963771218,0.113162036228782,0.870791578184814,0.8375,0.373831775700935,0.333333333333334,0.342051401869159,CMV
10000,107,0.975,0.975,0.02,0.1053,0.0992830654849873,0.111316934515013,0.872281099877771,0.8375,0.373831775700935,0.333333333333334,0.342436137071652,CMV
10000,107,0.975,0.975,0.03,0.1081,0.102013140047168,0.114186859952832,0.873772365604905,0.8375,0.373831775700935,0.333333333333334,0.342820872274144,CMV
10000,107,0.975,0.975,0.04,0.1072,0.101135473974938,0.113264526025062,0.875265378431066,0.8375,0.373831775700935,0.333333333333334,0.343205607476636,CMV
10000,107,0.975,0.975,0.05,0.1013,0.0953852761321771,0.107214723867823,0.876760141428283,0.8375,0.373831775700935,0.333333333333334,0.343590342679128,CMV
10000,107,0.975,0.975,0.06,0.1092,0.103086022952633,0.115313977047367,0.878256657675797,0.8375,0.373831775700935,0.333333333333334,0.34397507788162,CMV
10000,107,0.975,0.975,0.07,0.1043,0.0983083584754599,0.11029164152454,0.879754930260073,0.8375,0.373831775700935,0.333333333333334,0.344359813084113,CMV
10000,107,0.975,0.975,0.08,0.102,0.0960671873402949,0.107932812659705,0.881254962274825,0.8375,0.373831775700935,0.333333333333334,0.344744548286605,CMV
10000,107,0.975,0.975,0.09,0.1022,0.0962620350595055,0.108137964940495,0.882756756821041,0.8375,0.373831775700935,0.333333333333334,0.345129283489097,CMV
10000,107,0.975,0.975,0.1,0.0946,0.0888629558254238,0.100337044174576,0.884260317006997,0.8375,0.373831775700935,0.333333333333334,0.345514018691589,CMV
10000,107,0.975,0.975,0.11,0.1009,0.0949956517843235,0.106804348215677,0.885765645948282,0.8375,0.373831775700935,0.333333333333334,0.345898753894081,CMV
10000,107,0.975,0.975,0.12,0.098,0.0921717430900514,0.103828256909949,0.887272746767822,0.8375,0.373831775700935,0.333333333333334,0.346283489096574,CMV
10000,107,0.975,0.975,0.13,0.0921,0.0864314601540021,0.0977685398459979,0.888781622595896,0.8375,0.373831775700935,0.333333333333334,0.346668224299066,CMV
10000,107,0.975,0.975,0.14,0.0931,0.0874039089586098,0.0987960910413902,0.890292276570164,0.8375,0.373831775700935,0.333333333333334,0.347052959501558,CMV
10000,107,0.975,0.975,0.15,0.0946,0.0888629558254238,0.100337044174576,0.891804711835682,0.8375,0.373831775700935,0.333333333333334,0.34743769470405,CMV
10000,107,0.975,0.975,0.16,0.0948,0.089057528850633,0.100542471149367,0.893318931544932,0.8375,0.373831775700935,0.333333333333334,0.347822429906543,CMV
10000,107,0.975,0.975,0.17,0.0911,0.0854592140383745,0.0967407859616256,0.894834938857835,0.8375,0.373831775700935,0.333333333333334,0.348207165109035,CMV
10000,107,0.975,0.975,0.18,0.085,0.0795330841311586,0.0904669158688415,0.896352736941779,0.8375,0.373831775700935,0.333333333333334,0.348591900311527,CMV
10000,107,0.975,0.975,0.19,0.0895,0.0839040493821049,0.0950959506178951,0.897872328971641,0.8375,0.373831775700935,0.333333333333334,0.348976635514019,CMV
10000,107,0.975,0.975,0.2,0.0825,0.0771067271597002,0.0878932728402998,0.899393718129803,0.8375,0.373831775700935,0.333333333333334,0.349361370716511,CMV
