sim,sample_size,sensitivity,specificity,misrate,p,p_min,p_max,overall_or,or_t,theta0,theta1_true,theta1,snp
10000,402,1,1,0,0.5697,0.559994203899699,0.579405796100301,1.62895622895623,1.62895622895623,0.082089552238806,0.127155172413793,0.127155172413793,PTPN22
10000,402,1,1,0.01,0.5833,0.573635483784568,0.592964516215432,1.62234534518938,1.62895622895623,0.082089552238806,0.127155172413793,0.126704516212043,PTPN22
10000,402,1,1,0.02,0.5649,0.555181422334717,0.574618577665283,1.61574128087645,1.62895622895623,0.082089552238806,0.127155172413793,0.126253860010293,PTPN22
10000,402,1,1,0.03,0.5627,0.552975874015244,0.572424125984756,1.60914402547098,1.62895622895623,0.082089552238806,0.127155172413793,0.125803203808544,PTPN22
10000,402,1,1,0.04,0.5402,0.530430234176347,0.549969765823653,1.60255356844822,1.62895622895623,0.082089552238806,0.127155172413793,0.125352547606794,PTPN22
10000,402,1,1,0.05,0.5393,0.52952882712814,0.54907117287186,1.59596989930513,1.62895622895623,0.082089552238806,0.127155172413793,0.124901891405044,PTPN22
10000,402,1,1,0.06,0.5325,0.522719231172655,0.542280768827346,1.58939300756028,1.62895622895623,0.082089552238806,0.127155172413793,0.124451235203294,PTPN22
10000,402,1,1,0.07,0.526,0.516211764188189,0.535788235811811,1.58282288275381,1.62895622895623,0.082089552238806,0.127155172413793,0.124000579001544,PTPN22
10000,402,1,1,0.08,0.5089,0.499100056470894,0.518699943529106,1.57625951444739,1.62895622895623,0.082089552238806,0.127155172413793,0.123549922799794,PTPN22
10000,402,1,1,0.09,0.5135,0.503702076891612,0.523297923108388,1.56970289222411,1.62895622895623,0.082089552238806,0.127155172413793,0.123099266598044,PTPN22
10000,402,1,1,0.1,0.5027,0.49289864650168,0.51250135349832,1.56315300568851,1.62895622895623,0.082089552238806,0.127155172413793,0.122648610396295,PTPN22
10000,402,1,1,0.11,0.489,0.479200875844027,0.498799124155973,1.55660984446643,1.62895622895623,0.082089552238806,0.127155172413793,0.122197954194545,PTPN22
10000,402,1,1,0.12,0.4862,0.476402237499992,0.495997762500008,1.55007339820504,1.62895622895623,0.082089552238806,0.127155172413793,0.121747297992795,PTPN22
10000,402,1,1,0.13,0.4746,0.464811158831589,0.484388841168411,1.54354365657273,1.62895622895623,0.082089552238806,0.127155172413793,0.121296641791045,PTPN22
10000,402,1,1,0.14,0.4672,0.457419616016682,0.476980383983318,1.53702060925909,1.62895622895623,0.082089552238806,0.127155172413793,0.120845985589295,PTPN22
10000,402,1,1,0.15,0.4531,0.443341717798238,0.462858282201762,1.53050424597481,1.62895622895623,0.082089552238806,0.127155172413793,0.120395329387545,PTPN22
10000,402,1,1,0.16,0.4574,0.447634143117034,0.467165856882966,1.52399455645169,1.62895622895623,0.082089552238806,0.127155172413793,0.119944673185795,PTPN22
10000,402,1,1,0.17,0.4461,0.436355620828025,0.455844379171975,1.51749153044253,1.62895622895623,0.082089552238806,0.127155172413793,0.119494016984045,PTPN22
10000,402,1,1,0.18,0.4456,0.435856688610644,0.455343311389356,1.51099515772111,1.62895622895623,0.082089552238806,0.127155172413793,0.119043360782296,PTPN22
10000,402,1,1,0.19,0.4299,0.420195310970851,0.439604689029149,1.50450542808211,1.62895622895623,0.082089552238806,0.127155172413793,0.118592704580546,PTPN22
10000,402,1,1,0.2,0.4188,0.409128618388203,0.428471381611797,1.49802233134108,1.62895622895623,0.082089552238806,0.127155172413793,0.118142048378796,PTPN22
10000,402,1,1,0.21,0.4078,0.398166586705261,0.417433413294739,1.49154585733437,1.62895622895623,0.082089552238806,0.127155172413793,0.117691392177046,PTPN22
10000,402,1,1,0.22,0.3967,0.387109966074433,0.406290033925567,1.48507599591911,1.62895622895623,0.082089552238806,0.127155172413793,0.117240735975296,PTPN22
10000,402,1,1,0.23,0.3982,0.388603804211396,0.407796195788604,1.4786127369731,1.62895622895623,0.082089552238806,0.127155172413793,0.116790079773546,PTPN22
10000,402,1,1,0.24,0.3921,0.382529450507694,0.401670549492306,1.47215607039481,1.62895622895623,0.082089552238806,0.127155172413793,0.116339423571796,PTPN22
10000,402,1,1,0.25,0.3741,0.364614314738449,0.383585685261551,1.46570598610329,1.62895622895623,0.082089552238806,0.127155172413793,0.115888767370046,PTPN22
10000,402,1,1,0.26,0.3728,0.363320981795973,0.382279018204027,1.45926247403815,1.62895622895623,0.082089552238806,0.127155172413793,0.115438111168297,PTPN22
10000,402,1,1,0.27,0.3638,0.354369156014407,0.373230843985593,1.45282552415947,1.62895622895623,0.082089552238806,0.127155172413793,0.114987454966547,PTPN22
10000,402,1,1,0.28,0.3594,0.34999400195416,0.36880599804584,1.44639512644779,1.62895622895623,0.082089552238806,0.127155172413793,0.114536798764797,PTPN22
