sim,sample_size,sensitivity,specificity,misrate,p,p_min,p_max,overall_or,or_t,theta0,theta1_true,theta1
10000,100,1,1,0,8e-04,0.000245765461010384,0.00135423453898962,1.25,1.25,0.01,0.0124688279301746,0.0124688279301746
10000,100,1,1,0.01,0.0011,0.000450199965936082,0.00174980003406392,1.24749381265468,1.25,0.01,0.0124688279301746,0.0124441396508728
10000,100,1,1,0.02,5e-04,6.17733528986244e-05,0.000938226647101376,1.24498775061247,1.25,0.01,0.0124688279301746,0.0124194513715711
10000,100,1,1,0.03,8e-04,0.000245765461010384,0.00135423453898962,1.24248181386396,1.25,0.01,0.0124688279301746,0.0123947630922693
10000,100,1,1,0.04,0.0012,0.00052133997230091,0.00187866002769909,1.23997600239976,1.25,0.01,0.0124688279301746,0.0123700748129676
10000,100,1,1,0.05,7e-04,0.000181535118743996,0.001218464881256,1.23747031621047,1.25,0.01,0.0124688279301746,0.0123453865336658
10000,100,1,1,0.06,0.001,0.000380408965691186,0.00161959103430881,1.23496475528671,1.25,0.01,0.0124688279301746,0.0123206982543641
10000,100,1,1,0.07,7e-04,0.000181535118743996,0.001218464881256,1.23245931961907,1.25,0.01,0.0124688279301746,0.0122960099750623
10000,100,1,1,0.08,3e-04,-3.94828613898728e-05,0.000639482861389873,1.22995400919816,1.25,0.01,0.0124688279301746,0.0122713216957606
10000,100,1,1,0.09,5e-04,6.17733528986244e-05,0.000938226647101376,1.2274488240146,1.25,0.01,0.0124688279301746,0.0122466334164589
10000,100,1,1,0.1,5e-04,6.17733528986244e-05,0.000938226647101376,1.22494376405899,1.25,0.01,0.0124688279301746,0.0122219451371571
10000,100,1,1,0.11,8e-04,0.000245765461010384,0.00135423453898962,1.22243882932194,1.25,0.01,0.0124688279301746,0.0121972568578554
10000,100,1,1,0.12,6e-04,0.000119970775435465,0.00108002922456454,1.21993401979406,1.25,0.01,0.0124688279301746,0.0121725685785536
10000,100,1,1,0.13,4e-04,8.01856360682613e-06,0.000791981436393174,1.21742933546597,1.25,0.01,0.0124688279301746,0.0121478802992519
10000,100,1,1,0.14,6e-04,0.000119970775435465,0.00108002922456454,1.21492477632829,1.25,0.01,0.0124688279301746,0.0121231920199501
10000,100,1,1,0.15,5e-04,6.17733528986244e-05,0.000938226647101376,1.21242034237161,1.25,0.01,0.0124688279301746,0.0120985037406484
10000,100,1,1,0.16,6e-04,0.000119970775435465,0.00108002922456454,1.20991603358657,1.25,0.01,0.0124688279301746,0.0120738154613466
10000,100,1,1,0.17,5e-04,6.17733528986244e-05,0.000938226647101376,1.20741184996377,1.25,0.01,0.0124688279301746,0.0120491271820449
10000,100,1,1,0.18,6e-04,0.000119970775435465,0.00108002922456454,1.20490779149383,1.25,0.01,0.0124688279301746,0.0120244389027431
10000,100,1,1,0.19,4e-04,8.01856360682618e-06,0.000791981436393174,1.20240385816737,1.25,0.01,0.0124688279301746,0.0119997506234414
10000,100,1,1,0.2,4e-04,8.01856360682618e-06,0.000791981436393174,1.19990004997501,1.25,0.01,0.0124688279301746,0.0119750623441397
