sim,sample_size,sensitivity,specificity,misrate,p_chisq,p_fisher,overall_or,or_t,theta0,theta1_true,theta1,snp
10000,107,0.975,0.975,0,0.0863,0.0957,0.869303797468354,0.8375,0.373831775700935,0.333333333333334,0.341666666666667,CMV
10000,107,0.975,0.975,0.01,0.088,0.0971,0.870791578184814,0.8375,0.373831775700935,0.333333333333334,0.342051401869159,CMV
10000,107,0.975,0.975,0.02,0.0837,0.0948,0.872281099877771,0.8375,0.373831775700935,0.333333333333334,0.342436137071652,CMV
10000,107,0.975,0.975,0.03,0.0887,0.0978,0.873772365604905,0.8375,0.373831775700935,0.333333333333334,0.342820872274144,CMV
10000,107,0.975,0.975,0.04,0.0804,0.0902,0.875265378431066,0.8375,0.373831775700935,0.333333333333334,0.343205607476636,CMV
10000,107,0.975,0.975,0.05,0.0836,0.0923,0.876760141428283,0.8375,0.373831775700935,0.333333333333334,0.343590342679128,CMV
10000,107,0.975,0.975,0.06,0.0836,0.0922,0.878256657675797,0.8375,0.373831775700935,0.333333333333334,0.34397507788162,CMV
10000,107,0.975,0.975,0.07,0.0821,0.0901,0.879754930260073,0.8375,0.373831775700935,0.333333333333334,0.344359813084113,CMV
10000,107,0.975,0.975,0.08,0.0791,0.0866,0.881254962274825,0.8375,0.373831775700935,0.333333333333334,0.344744548286605,CMV
10000,107,0.975,0.975,0.09,0.0843,0.092,0.882756756821041,0.8375,0.373831775700935,0.333333333333334,0.345129283489097,CMV
10000,107,0.975,0.975,0.1,0.0772,0.0862,0.884260317006997,0.8375,0.373831775700935,0.333333333333334,0.345514018691589,CMV
10000,107,0.975,0.975,0.11,0.0786,0.0881,0.885765645948282,0.8375,0.373831775700935,0.333333333333334,0.345898753894081,CMV
10000,107,0.975,0.975,0.12,0.074,0.0825,0.887272746767822,0.8375,0.373831775700935,0.333333333333334,0.346283489096574,CMV
10000,107,0.975,0.975,0.13,0.0728,0.0793,0.888781622595896,0.8375,0.373831775700935,0.333333333333334,0.346668224299066,CMV
10000,107,0.975,0.975,0.14,0.0785,0.0877,0.890292276570164,0.8375,0.373831775700935,0.333333333333334,0.347052959501558,CMV
10000,107,0.975,0.975,0.15,0.0785,0.0859,0.891804711835682,0.8375,0.373831775700935,0.333333333333334,0.34743769470405,CMV
10000,107,0.975,0.975,0.16,0.0741,0.0816,0.893318931544932,0.8375,0.373831775700935,0.333333333333334,0.347822429906543,CMV
10000,107,0.975,0.975,0.17,0.074,0.0809,0.894834938857835,0.8375,0.373831775700935,0.333333333333334,0.348207165109035,CMV
10000,107,0.975,0.975,0.18,0.0701,0.0788,0.896352736941779,0.8375,0.373831775700935,0.333333333333334,0.348591900311527,CMV
10000,107,0.975,0.975,0.19,0.071,0.0795,0.897872328971641,0.8375,0.373831775700935,0.333333333333334,0.348976635514019,CMV
10000,107,0.975,0.975,0.2,0.0707,0.0788,0.899393718129803,0.8375,0.373831775700935,0.333333333333334,0.349361370716511,CMV
10000,107,0.975,0.975,0.21,0.0692,0.0778,0.900916907606183,0.8375,0.373831775700935,0.333333333333334,0.349746105919004,CMV
10000,107,0.975,0.975,0.22,0.0643,0.0719,0.902441900598251,0.8375,0.373831775700935,0.333333333333334,0.350130841121496,CMV
10000,107,0.975,0.975,0.23,0.0683,0.074,0.903968700311054,0.8375,0.373831775700935,0.333333333333334,0.350515576323988,CMV
10000,107,0.975,0.975,0.24,0.0659,0.0743,0.905497309957238,0.8375,0.373831775700935,0.333333333333334,0.35090031152648,CMV
10000,107,0.975,0.975,0.25,0.0673,0.0734,0.907027732757068,0.8375,0.373831775700935,0.333333333333334,0.351285046728972,CMV
10000,107,0.975,0.975,0.26,0.0647,0.0733,0.908559971938457,0.8375,0.373831775700935,0.333333333333334,0.351669781931465,CMV
10000,107,0.975,0.975,0.27,0.0611,0.0688,0.910094030736981,0.8375,0.373831775700935,0.333333333333334,0.352054517133957,CMV
10000,107,0.975,0.975,0.28,0.0603,0.0665,0.911629912395907,0.8375,0.373831775700935,0.333333333333334,0.352439252336449,CMV
10000,107,0.975,0.975,0.29,0.066,0.0743,0.913167620166215,0.8375,0.373831775700935,0.333333333333334,0.352823987538941,CMV
10000,107,0.975,0.975,0.3,0.0593,0.0648,0.914707157306618,0.8375,0.373831775700935,0.333333333333334,0.353208722741433,CMV
10000,107,0.975,0.975,0.31,0.0601,0.0673,0.916248527083589,0.8375,0.373831775700935,0.333333333333334,0.353593457943926,CMV
10000,107,0.975,0.975,0.32,0.0597,0.0665,0.917791732771383,0.8375,0.373831775700935,0.333333333333334,0.353978193146418,CMV
10000,107,0.975,0.975,0.33,0.0599,0.0664,0.919336777652057,0.8375,0.373831775700935,0.333333333333334,0.35436292834891,CMV
10000,107,0.975,0.975,0.34,0.058,0.0637,0.920883665015498,0.8375,0.373831775700935,0.333333333333334,0.354747663551402,CMV
10000,107,0.975,0.975,0.35,0.0586,0.0662,0.922432398159442,0.8375,0.373831775700935,0.333333333333334,0.355132398753895,CMV
10000,107,0.975,0.975,0.36,0.0577,0.0651,0.923982980389503,0.8375,0.373831775700935,0.333333333333334,0.355517133956387,CMV
10000,107,0.975,0.975,0.37,0.0559,0.0615,0.925535415019189,0.8375,0.373831775700935,0.333333333333334,0.355901869158879,CMV
10000,107,0.975,0.975,0.38,0.0607,0.0677,0.927089705369933,0.8375,0.373831775700935,0.333333333333334,0.356286604361371,CMV
10000,107,0.975,0.975,0.39,0.0531,0.0594,0.928645854771111,0.8375,0.373831775700935,0.333333333333334,0.356671339563863,CMV
10000,107,0.975,0.975,0.4,0.0548,0.0613,0.93020386656007,0.8375,0.373831775700935,0.333333333333334,0.357056074766356,CMV
10000,107,0.975,0.975,0.41,0.0564,0.0628,0.931763744082148,0.8375,0.373831775700935,0.333333333333334,0.357440809968848,CMV
10000,107,0.975,0.975,0.42,0.0575,0.0642,0.933325490690702,0.8375,0.373831775700935,0.333333333333334,0.35782554517134,CMV
10000,107,0.975,0.975,0.43,0.0541,0.0615,0.93488910974713,0.8375,0.373831775700935,0.333333333333334,0.358210280373832,CMV
