sim,sample_size,sensitivity,specificity,misrate,p,p_min,p_max,overall_or,or_t,theta0,theta1_true,theta1,virus
10000,107,0.975,0.975,0,0.0876,0.0820579929741843,0.0931420070258157,0.869303797468354,0.8375,0.373831775700935,0.333333333333334,0.341666666666667,CMV
10000,107,0.975,0.975,0.01,0.0875,0.0819608536002849,0.093039146399715,0.870791578184814,0.8375,0.373831775700935,0.333333333333334,0.342051401869159,CMV
10000,107,0.975,0.975,0.02,0.085,0.0795330841311586,0.0904669158688415,0.872281099877771,0.8375,0.373831775700935,0.333333333333334,0.342436137071652,CMV
10000,107,0.975,0.975,0.03,0.0821,0.0767186449830657,0.0874813550169344,0.873772365604905,0.8375,0.373831775700935,0.333333333333334,0.342820872274144,CMV
10000,107,0.975,0.975,0.04,0.0856,0.0801156221058301,0.0910843778941699,0.875265378431066,0.8375,0.373831775700935,0.333333333333334,0.343205607476636,CMV
10000,107,0.975,0.975,0.05,0.086,0.0805040255621796,0.0914959744378204,0.876760141428283,0.8375,0.373831775700935,0.333333333333334,0.343590342679128,CMV
10000,107,0.975,0.975,0.06,0.076,0.0708052438921654,0.0811947561078346,0.878256657675797,0.8375,0.373831775700935,0.333333333333334,0.34397507788162,CMV
10000,107,0.975,0.975,0.07,0.0776,0.0723553937471562,0.0828446062528438,0.879754930260073,0.8375,0.373831775700935,0.333333333333334,0.344359813084113,CMV
10000,107,0.975,0.975,0.08,0.077,0.0717740097669477,0.0822259902330523,0.881254962274825,0.8375,0.373831775700935,0.333333333333334,0.344744548286605,CMV
10000,107,0.975,0.975,0.09,0.0796,0.0742940003194529,0.0849059996805472,0.882756756821041,0.8375,0.373831775700935,0.333333333333334,0.345129283489097,CMV
10000,107,0.975,0.975,0.1,0.0796,0.0742940003194529,0.0849059996805472,0.884260317006997,0.8375,0.373831775700935,0.333333333333334,0.345514018691589,CMV
10000,107,0.975,0.975,0.11,0.0806,0.0752636764800769,0.0859363235199231,0.885765645948282,0.8375,0.373831775700935,0.333333333333334,0.345898753894081,CMV
10000,107,0.975,0.975,0.12,0.0795,0.0741970462259672,0.0848029537740328,0.887272746767822,0.8375,0.373831775700935,0.333333333333334,0.346283489096574,CMV
10000,107,0.975,0.975,0.13,0.0803,0.074972747933716,0.085627252066284,0.888781622595896,0.8375,0.373831775700935,0.333333333333334,0.346668224299066,CMV
10000,107,0.975,0.975,0.14,0.0748,0.0696430729060366,0.0799569270939634,0.890292276570164,0.8375,0.373831775700935,0.333333333333334,0.347052959501558,CMV
10000,107,0.975,0.975,0.15,0.0748,0.0696430729060366,0.0799569270939634,0.891804711835682,0.8375,0.373831775700935,0.333333333333334,0.34743769470405,CMV
10000,107,0.975,0.975,0.16,0.0751,0.069933579643584,0.080266420356416,0.893318931544932,0.8375,0.373831775700935,0.333333333333334,0.347822429906543,CMV
10000,107,0.975,0.975,0.17,0.0727,0.0676102117364696,0.0777897882635304,0.894834938857835,0.8375,0.373831775700935,0.333333333333334,0.348207165109035,CMV
10000,107,0.975,0.975,0.18,0.0688,0.0638382133827859,0.0737617866172141,0.896352736941779,0.8375,0.373831775700935,0.333333333333334,0.348591900311527,CMV
10000,107,0.975,0.975,0.19,0.0639,0.0591056036690448,0.0686943963309552,0.897872328971641,0.8375,0.373831775700935,0.333333333333334,0.348976635514019,CMV
10000,107,0.975,0.975,0.2,0.0656,0.0607466600180062,0.0704533399819939,0.899393718129803,0.8375,0.373831775700935,0.333333333333334,0.349361370716511,CMV
