sim,sample_size,sensitivity,specificity,misrate,p,p_min,p_max,overall_or,or_t,theta0,theta1_true,theta1,snp
10000,402,1,1,0,0.5261,0.516311866458679,0.535888133541321,1.62895622895623,1.62895622895623,0.082089552238806,0.127155172413793,0.127155172413793,PTPN22
10000,402,1,1,0.01,0.5311,0.521317482179562,0.540882517820438,1.62234534518938,1.62895622895623,0.082089552238806,0.127155172413793,0.126704516212043,PTPN22
10000,402,1,1,0.02,0.507,0.49719946418854,0.516800535811461,1.61574128087645,1.62895622895623,0.082089552238806,0.127155172413793,0.126253860010293,PTPN22
10000,402,1,1,0.03,0.5169,0.507104104005587,0.526695895994413,1.60914402547098,1.62895622895623,0.082089552238806,0.127155172413793,0.125803203808544,PTPN22
10000,402,1,1,0.04,0.4983,0.488498560247633,0.508101439752367,1.60255356844822,1.62895622895623,0.082089552238806,0.127155172413793,0.125352547606794,PTPN22
10000,402,1,1,0.05,0.4869,0.477101868241923,0.496698131758077,1.59596989930513,1.62895622895623,0.082089552238806,0.127155172413793,0.124901891405044,PTPN22
10000,402,1,1,0.06,0.4815,0.471705215016881,0.491294784983119,1.58939300756028,1.62895622895623,0.082089552238806,0.127155172413793,0.124451235203294,PTPN22
10000,402,1,1,0.07,0.4778,0.468008169499892,0.487591830500108,1.58282288275381,1.62895622895623,0.082089552238806,0.127155172413793,0.124000579001544,PTPN22
10000,402,1,1,0.08,0.4662,0.456420924481775,0.475979075518225,1.57625951444739,1.62895622895623,0.082089552238806,0.127155172413793,0.123549922799794,PTPN22
10000,402,1,1,0.09,0.4585,0.448732323195657,0.468267676804344,1.56970289222411,1.62895622895623,0.082089552238806,0.127155172413793,0.123099266598044,PTPN22
10000,402,1,1,0.1,0.4545,0.444739171057524,0.464260828942476,1.56315300568851,1.62895622895623,0.082089552238806,0.127155172413793,0.122648610396295,PTPN22
10000,402,1,1,0.11,0.4411,0.431366748075041,0.450833251924959,1.55660984446643,1.62895622895623,0.082089552238806,0.127155172413793,0.122197954194545,PTPN22
10000,402,1,1,0.12,0.4305,0.420793652786892,0.440206347213108,1.55007339820504,1.62895622895623,0.082089552238806,0.127155172413793,0.121747297992795,PTPN22
10000,402,1,1,0.13,0.4257,0.416007325826216,0.435392674173784,1.54354365657273,1.62895622895623,0.082089552238806,0.127155172413793,0.121296641791045,PTPN22
10000,402,1,1,0.14,0.4237,0.414013298378281,0.433386701621719,1.53702060925909,1.62895622895623,0.082089552238806,0.127155172413793,0.120845985589295,PTPN22
10000,402,1,1,0.15,0.4202,0.410524141464938,0.429875858535062,1.53050424597481,1.62895622895623,0.082089552238806,0.127155172413793,0.120395329387545,PTPN22
10000,402,1,1,0.16,0.4022,0.392587831637389,0.411812168362611,1.52399455645169,1.62895622895623,0.082089552238806,0.127155172413793,0.119944673185795,PTPN22
10000,402,1,1,0.17,0.3965,0.386910794767903,0.406089205232097,1.51749153044253,1.62895622895623,0.082089552238806,0.127155172413793,0.119494016984045,PTPN22
10000,402,1,1,0.18,0.3872,0.377651186013184,0.396748813986816,1.51099515772111,1.62895622895623,0.082089552238806,0.127155172413793,0.119043360782296,PTPN22
10000,402,1,1,0.19,0.3814,0.371878230087398,0.390921769912602,1.50450542808211,1.62895622895623,0.082089552238806,0.127155172413793,0.118592704580546,PTPN22
10000,402,1,1,0.2,0.3806,0.371082072921826,0.390117927078174,1.49802233134108,1.62895622895623,0.082089552238806,0.127155172413793,0.118142048378796,PTPN22
10000,402,1,1,0.21,0.3617,0.352280907601293,0.371119092398707,1.49154585733437,1.62895622895623,0.082089552238806,0.127155172413793,0.117691392177046,PTPN22
10000,402,1,1,0.22,0.3584,0.348999768291333,0.367800231708667,1.48507599591911,1.62895622895623,0.082089552238806,0.127155172413793,0.117240735975296,PTPN22
10000,402,1,1,0.23,0.3515,0.342140771821689,0.360859228178311,1.4786127369731,1.62895622895623,0.082089552238806,0.127155172413793,0.116790079773546,PTPN22
10000,402,1,1,0.24,0.3372,0.327932610562459,0.346467389437541,1.47215607039481,1.62895622895623,0.082089552238806,0.127155172413793,0.116339423571796,PTPN22
10000,402,1,1,0.25,0.338,0.328727224924127,0.347272775075873,1.46570598610329,1.62895622895623,0.082089552238806,0.127155172413793,0.115888767370046,PTPN22
10000,402,1,1,0.26,0.315,0.305894098602557,0.324105901397444,1.45926247403815,1.62895622895623,0.082089552238806,0.127155172413793,0.115438111168297,PTPN22
10000,402,1,1,0.27,0.3237,0.314528013136453,0.332871986863547,1.45282552415947,1.62895622895623,0.082089552238806,0.127155172413793,0.114987454966547,PTPN22
10000,402,1,1,0.28,0.3139,0.304802716096974,0.322997283903026,1.44639512644779,1.62895622895623,0.082089552238806,0.127155172413793,0.114536798764797,PTPN22
10000,402,1,1,0.29,0.3108,0.301727321528812,0.319872678471188,1.43997127090403,1.62895622895623,0.082089552238806,0.127155172413793,0.114086142563047,PTPN22
10000,402,1,1,0.3,0.3027,0.293693865600192,0.311706134399808,1.43355394754944,1.62895622895623,0.082089552238806,0.127155172413793,0.113635486361297,PTPN22
10000,402,1,1,0.31,0.2918,0.282888660580172,0.300711339419828,1.42714314642557,1.62895622895623,0.082089552238806,0.127155172413793,0.113184830159547,PTPN22
10000,402,1,1,0.32,0.2784,0.269613715565739,0.287186284434261,1.42073885759417,1.62895622895623,0.082089552238806,0.127155172413793,0.112734173957797,PTPN22
10000,402,1,1,0.33,0.2787,0.269910810441901,0.287489189558099,1.41434107113722,1.62895622895623,0.082089552238806,0.127155172413793,0.112283517756047,PTPN22
10000,402,1,1,0.34,0.271,0.26228693828387,0.27971306171613,1.40794977715678,1.62895622895623,0.082089552238806,0.127155172413793,0.111832861554298,PTPN22
