sim,sample_size,sensitivity,specificity,misrate,p,p_min,p_max,overall_or,or_t,theta0,theta1_true,theta1
10000,100,1,1,0,0.0585,0.0538994423648923,0.0631005576351078,1.25,1.25,0.05,0.0617283950617284,0.0617283950617284
10000,100,1,1,0.01,0.0611,0.0564048155811698,0.0657951844188302,1.2474690663667,1.25,0.05,0.0617283950617284,0.0616111111111111
10000,100,1,1,0.02,0.0603,0.0556336678344617,0.0649663321655383,1.24493876530867,1.25,0.05,0.0617283950617284,0.0614938271604938
10000,100,1,1,0.03,0.0572,0.05264770726101,0.06175229273899,1.24240909658878,1.25,0.05,0.0617283950617284,0.0613765432098766
10000,100,1,1,0.04,0.059,0.0543810506687623,0.0636189493312377,1.23988005997001,1.25,0.05,0.0617283950617284,0.0612592592592593
10000,100,1,1,0.05,0.0565,0.0519739686606321,0.0610260313393679,1.23735165521549,1.25,0.05,0.0617283950617284,0.061141975308642
10000,100,1,1,0.06,0.057,0.0524551908059647,0.0615448091940353,1.23482388208843,1.25,0.05,0.0617283950617284,0.0610246913580247
10000,100,1,1,0.07,0.0583,0.0537068255196558,0.0628931744803442,1.23229674035219,1.25,0.05,0.0617283950617284,0.0609074074074074
10000,100,1,1,0.08,0.052,0.0476476058177303,0.0563523941822697,1.22977022977023,1.25,0.05,0.0617283950617284,0.0607901234567901
10000,100,1,1,0.09,0.0531,0.048704364223926,0.057495635776074,1.22724435010613,1.25,0.05,0.0617283950617284,0.0606728395061728
10000,100,1,1,0.1,0.0562,0.0516852830760685,0.0607147169239315,1.2247191011236,1.25,0.05,0.0617283950617284,0.0605555555555556
10000,100,1,1,0.11,0.0562,0.0516852830760685,0.0607147169239315,1.22219448258644,1.25,0.05,0.0617283950617284,0.0604382716049383
10000,100,1,1,0.12,0.0567,0.0521664456425803,0.0612335543574197,1.21967049425861,1.25,0.05,0.0617283950617284,0.060320987654321
10000,100,1,1,0.13,0.0535,0.049088771234506,0.057911228765494,1.21714713590416,1.25,0.05,0.0617283950617284,0.0602037037037037
10000,100,1,1,0.14,0.055,0.0505309045571595,0.0594690954428405,1.21462440728725,1.25,0.05,0.0617283950617284,0.0600864197530864
10000,100,1,1,0.15,0.0549,0.0504347329808476,0.0593652670191524,1.21210230817218,1.25,0.05,0.0617283950617284,0.0599691358024691
10000,100,1,1,0.16,0.0532,0.0488004594852841,0.0575995405147159,1.20958083832335,1.25,0.05,0.0617283950617284,0.0598518518518519
10000,100,1,1,0.17,0.0553,0.0508194440592043,0.0597805559407957,1.2070599975053,1.25,0.05,0.0617283950617284,0.0597345679012346
10000,100,1,1,0.18,0.0563,0.0517815076058473,0.0608184923941527,1.20453978548266,1.25,0.05,0.0617283950617284,0.0596172839506173
10000,100,1,1,0.19,0.0538,0.049377121691421,0.058222878308579,1.2020202020202,1.25,0.05,0.0617283950617284,0.0595
10000,100,1,1,0.2,0.0537,0.0492810005905122,0.0581189994094878,1.19950124688279,1.25,0.05,0.0617283950617284,0.0593827160493827
10000,100,1,1,0.21,0.054,0.0495693766828187,0.0584306233171813,1.19698291983543,1.25,0.05,0.0617283950617284,0.0592654320987654
10000,100,1,1,0.22,0.0497,0.0454397906653476,0.0539602093346524,1.19446522064323,1.25,0.05,0.0617283950617284,0.0591481481481482
10000,100,1,1,0.23,0.0534,0.0489926630020571,0.057807336997943,1.19194814907142,1.25,0.05,0.0617283950617284,0.0590308641975309
10000,100,1,1,0.24,0.0522,0.0478397038811817,0.0565602961188183,1.18943170488534,1.25,0.05,0.0617283950617284,0.0589135802469136
10000,100,1,1,0.25,0.0539,0.0494732470592546,0.0583267529407454,1.18691588785047,1.25,0.05,0.0617283950617284,0.0587962962962963
10000,100,1,1,0.26,0.0502,0.0459195411944359,0.0544804588055641,1.18440069773237,1.25,0.05,0.0617283950617284,0.058679012345679
10000,100,1,1,0.27,0.0531,0.048704364223926,0.057495635776074,1.18188613429675,1.25,0.05,0.0617283950617284,0.0585617283950617
10000,100,1,1,0.28,0.0519,0.047551563496316,0.056248436503684,1.17937219730942,1.25,0.05,0.0617283950617284,0.0584444444444445
10000,100,1,1,0.29,0.052,0.0476476058177303,0.0563523941822697,1.17685888653631,1.25,0.05,0.0617283950617284,0.0583271604938272
10000,100,1,1,0.3,0.0518,0.047455525664739,0.056144474335261,1.17434620174346,1.25,0.05,0.0617283950617284,0.0582098765432099
10000,100,1,1,0.31,0.0521,0.0477436526167451,0.0564563473832549,1.17183414269705,1.25,0.05,0.0617283950617284,0.0580925925925926
10000,100,1,1,0.32,0.05,0.0457276267674345,0.0542723732325655,1.16932270916335,1.25,0.05,0.0617283950617284,0.0579753086419753
10000,100,1,1,0.33,0.0492,0.0449601595047309,0.0534398404952691,1.16681190090875,1.25,0.05,0.0617283950617284,0.057858024691358
10000,100,1,1,0.34,0.049,0.0447683408494298,0.0532316591505702,1.16430171769978,1.25,0.05,0.0617283950617284,0.0577407407407407
