sim,sample_size,sensitivity,specificity,misrate,p,p_min,p_max,overall_or,or_t,theta0,theta1_true,theta1
10000,100,0.8,0.8,0,0.8775,0.871072915829676,0.883927084170324,4.05882352941176,5,0.25,0.625,0.575
10000,100,0.8,0.8,0.01,0.8699,0.863305290121844,0.876494709878156,4.02165008777063,5,0.25,0.625,0.57275
10000,100,0.8,0.8,0.02,0.8668,0.860139084191464,0.873460915808536,3.9848661233993,5,0.25,0.625,0.5705
10000,100,0.8,0.8,0.03,0.862,0.855238928063891,0.868761071936109,3.94846554719166,5,0.25,0.625,0.56825
10000,100,0.8,0.8,0.04,0.851,0.84401960024054,0.85798039975946,3.91244239631336,5,0.25,0.625,0.566
10000,100,0.8,0.8,0.05,0.8345,0.827214916227,0.841785083773,3.87679083094556,5,0.25,0.625,0.56375
10000,100,0.8,0.8,0.06,0.8309,0.823552009876156,0.838247990123844,3.84150513112885,5,0.25,0.625,0.5615
10000,100,0.8,0.8,0.07,0.8204,0.812875314159167,0.827924685840833,3.80657969370391,5,0.25,0.625,0.55925
10000,100,0.8,0.8,0.08,0.8194,0.811858994918638,0.826941005081362,3.77200902934537,5,0.25,0.625,0.557
10000,100,0.8,0.8,0.09,0.8104,0.802715930870774,0.818084069129226,3.73778775968557,5,0.25,0.625,0.55475
10000,100,0.8,0.8,0.1,0.7973,0.789419384527342,0.805180615472658,3.70391061452514,5,0.25,0.625,0.5525
10000,100,0.8,0.8,0.11,0.7941,0.786173377933575,0.802026622066425,3.67037242912729,5,0.25,0.625,0.55025
10000,100,0.8,0.8,0.12,0.7786,0.770461049848094,0.786738950151906,3.63716814159292,5,0.25,0.625,0.548
10000,100,0.8,0.8,0.13,0.7682,0.759927891010335,0.776472108989665,3.60429279031371,5,0.25,0.625,0.54575
10000,100,0.8,0.8,0.14,0.7592,0.750818365439974,0.767581634560026,3.57174151150055,5,0.25,0.625,0.5435
10000,100,0.8,0.8,0.15,0.7496,0.741107132827095,0.758092867172905,3.53950953678474,5,0.25,0.625,0.54125
10000,100,0.8,0.8,0.16,0.738,0.729380120252394,0.746619879747606,3.50759219088937,5,0.25,0.625,0.539
10000,100,0.8,0.8,0.17,0.7318,0.7231154370006,0.7404845629994,3.47598488936859,5,0.25,0.625,0.53675
10000,100,0.8,0.8,0.18,0.7124,0.703526830517145,0.721273169482856,3.44468313641246,5,0.25,0.625,0.5345
10000,100,0.8,0.8,0.19,0.704,0.695051410919302,0.712948589080698,3.41368252271513,5,0.25,0.625,0.53225
10000,100,0.8,0.8,0.2,0.6942,0.685168010462502,0.703231989537498,3.38297872340426,5,0.25,0.625,0.53
10000,100,0.8,0.8,0.21,0.6857,0.6765995756068,0.6948004243932,3.35256749602965,5,0.25,0.625,0.52775
10000,100,0.8,0.8,0.22,0.6739,0.664710423272371,0.683089576727629,3.32244467860906,5,0.25,0.625,0.5255
10000,100,0.8,0.8,0.23,0.6602,0.650915215506735,0.669484784493265,3.29260618772942,5,0.25,0.625,0.52325
10000,100,0.8,0.8,0.24,0.6521,0.642763014268974,0.661436985731026,3.26304801670146,5,0.25,0.625,0.521
10000,100,0.8,0.8,0.25,0.6379,0.628478654205769,0.647321345794231,3.23376623376623,5,0.25,0.625,0.51875
10000,100,0.8,0.8,0.26,0.6281,0.618625640353522,0.637574359646478,3.2047569803516,5,0.25,0.625,0.5165
10000,100,0.8,0.8,0.27,0.6113,0.601744424487331,0.620855575512669,3.17601646937725,5,0.25,0.625,0.51425
10000,100,0.8,0.8,0.28,0.6112,0.601643977106094,0.620756022893906,3.14754098360656,5,0.25,0.625,0.512
10000,100,0.8,0.8,0.29,0.586,0.576344575790296,0.595655424209704,3.11932687404385,5,0.25,0.625,0.50975
10000,100,0.8,0.8,0.3,0.5721,0.562400943309751,0.581799056690249,3.09137055837563,5,0.25,0.625,0.5075
10000,100,0.8,0.8,0.31,0.5602,0.550469804967209,0.569930195032792,3.06366851945427,5,0.25,0.625,0.50525
10000,100,0.8,0.8,0.32,0.5511,0.541349825489696,0.560850174510305,3.03621730382294,5,0.25,0.625,0.503
10000,100,0.8,0.8,0.33,0.5301,0.520316280222758,0.539883719777242,3.00901352028042,5,0.25,0.625,0.50075
10000,100,0.8,0.8,0.34,0.5295,0.519715577971243,0.539284422028757,2.98205383848455,5,0.25,0.625,0.4985
10000,100,0.8,0.8,0.35,0.5105,0.500700665063106,0.520299334936894,2.95533498759305,5,0.25,0.625,0.49625
10000,100,0.8,0.8,0.36,0.4936,0.483799306566297,0.503400693433703,2.92885375494071,5,0.25,0.625,0.494
10000,100,0.8,0.8,0.37,0.4876,0.477801518214594,0.497398481785406,2.9026069847516,5,0.25,0.625,0.49175
10000,100,0.8,0.8,0.38,0.4693,0.459516996665507,0.479083003334493,2.87659157688541,5,0.25,0.625,0.4895
10000,100,0.8,0.8,0.39,0.4569,0.447134986207121,0.466665013792879,2.85080448561677,5,0.25,0.625,0.48725
10000,100,0.8,0.8,0.4,0.4417,0.431965360026361,0.451434639973639,2.8252427184466,5,0.25,0.625,0.485
10000,100,0.8,0.8,0.41,0.4261,0.41640615078521,0.43579384921479,2.79990333494442,5,0.25,0.625,0.48275
10000,100,0.8,0.8,0.42,0.4147,0.4050421899292,0.4243578100708,2.77478344562079,5,0.25,0.625,0.4805
10000,100,0.8,0.8,0.43,0.3949,0.385317484642195,0.404482515357805,2.74988021082894,5,0.25,0.625,0.47825
