sensitivity,specificity,sample_size,misrate,p_80
0.8,0.8,100,0,0.3808
0.8,0.8,250,0,0.773
0.8,0.8,500,0.27,0.8061
0.8,0.8,1000,0.49,0.8139
0.8,0.8,2500,0.68,0.8217
0.8,0.8,5000,0.77,0.8324
0.8,0.9,100,0,0.5037
0.8,0.9,250,0.14,0.8046
0.8,0.9,500,0.41,0.8058
0.8,0.9,1000,0.59,0.8033
0.8,0.9,2500,0.74,0.8113
0.8,0.9,5000,0.82,0.8059
0.8,0.925,100,0,0.5419
0.8,0.925,250,0.18,0.8139
0.8,0.925,500,0.44,0.8046
0.8,0.925,1000,0.61,0.8054
0.8,0.925,2500,0.75,0.8291
0.8,0.925,5000,0.83,0.8088
0.8,0.975,100,0,0.6355
0.8,0.975,250,0.27,0.8001
0.8,0.975,500,0.49,0.8128
0.8,0.975,1000,0.65,0.8108
0.8,0.975,2500,0.78,0.8219
0.8,0.975,5000,0.84,0.8453
0.8,1,100,0,0.6826
0.8,1,250,0.31,0.804
0.8,1,500,0.53,0.8011
0.8,1,1000,0.67,0.8114
0.8,1,2500,0.79,0.8305
0.8,1,5000,0.85,0.8435
0.9,0.8,100,0,0.4911
0.9,0.8,250,0.11,0.8044
0.9,0.8,500,0.38,0.8042
0.9,0.8,1000,0.56,0.8066
0.9,0.8,2500,0.72,0.8215
0.9,0.8,5000,0.8,0.8239
0.9,0.9,100,0,0.6161
0.9,0.9,250,0.24,0.8078
0.9,0.9,500,0.47,0.8082
0.9,0.9,1000,0.63,0.8071
0.9,0.9,2500,0.77,0.8123
0.9,0.9,5000,0.84,0.8064
0.9,0.925,100,0,0.6514
0.9,0.925,250,0.27,0.8077
0.9,0.925,500,0.49,0.8084
0.9,0.925,1000,0.64,0.8246
0.9,0.925,2500,0.78,0.8139
0.9,0.925,5000,0.84,0.8327
0.9,0.975,100,0,0.7224
0.9,0.975,250,0.33,0.8105
0.9,0.975,500,0.54,0.8103
0.9,0.975,1000,0.68,0.8021
0.9,0.975,2500,0.8,0.8112
0.9,0.975,5000,0.86,0.811
0.9,1,100,0,0.7629
0.9,1,250,0.36,0.8097
0.9,1,500,0.56,0.8136
0.9,1,1000,0.7,0.8054
0.9,1,2500,0.81,0.8223
0.9,1,5000,0.86,0.8473
0.925,0.8,100,0,0.5201
0.925,0.8,250,0.14,0.8106
0.925,0.8,500,0.4,0.8064
0.925,0.8,1000,0.57,0.8113
0.925,0.8,2500,0.73,0.8169
0.925,0.8,5000,0.81,0.8232
0.925,0.9,100,0,0.6478
0.925,0.9,250,0.25,0.8099
0.925,0.9,500,0.49,0.8025
0.925,0.9,1000,0.64,0.8118
0.925,0.9,2500,0.77,0.8248
0.925,0.9,5000,0.84,0.8229
0.925,0.925,100,0,0.6699
0.925,0.925,250,0.29,0.8033
0.925,0.925,500,0.5,0.8121
0.925,0.925,1000,0.66,0.8029
0.925,0.925,2500,0.78,0.8282
0.925,0.925,5000,0.85,0.8112
0.925,0.975,100,0,0.7358
0.925,0.975,250,0.34,0.8104
0.925,0.975,500,0.55,0.8035
0.925,0.975,1000,0.69,0.8041
0.925,0.975,2500,0.8,0.8303
0.925,0.975,5000,0.86,0.8289
0.925,1,100,0,0.7748
0.925,1,250,0.37,0.8165
0.925,1,500,0.57,0.8051
0.925,1,1000,0.7,0.8139
0.925,1,2500,0.81,0.8283
0.925,1,5000,0.87,0.8129
0.975,0.8,100,0,0.5836
0.975,0.8,250,0.2,0.8005
0.975,0.8,500,0.43,0.8075
0.975,0.8,1000,0.59,0.8233
0.975,0.8,2500,0.75,0.8008
0.975,0.8,5000,0.82,0.8192
0.975,0.9,100,0,0.6832
0.975,0.9,250,0.29,0.8114
0.975,0.9,500,0.51,0.8057
0.975,0.9,1000,0.65,0.8228
0.975,0.9,2500,0.78,0.8289
0.975,0.9,5000,0.85,0.8105
0.975,0.925,100,0,0.723
0.975,0.925,250,0.32,0.8059
0.975,0.925,500,0.53,0.8143
0.975,0.925,1000,0.67,0.8122
0.975,0.925,2500,0.79,0.8278
0.975,0.925,5000,0.85,0.8403
0.975,0.975,100,0,0.783
0.975,0.975,250,0.37,0.8109
0.975,0.975,500,0.57,0.8011
0.975,0.975,1000,0.7,0.8074
0.975,0.975,2500,0.81,0.8193
0.975,0.975,5000,0.87,0.8015
0.975,1,100,0.01,0.809
0.975,1,250,0.4,0.8056
0.975,1,500,0.59,0.801
0.975,1,1000,0.71,0.8143
0.975,1,2500,0.82,0.8194
0.975,1,5000,0.87,0.838
1,0.8,100,0,0.6075
1,0.8,250,0.22,0.8067
1,0.8,500,0.45,0.8133
1,0.8,1000,0.61,0.8176
1,0.8,2500,0.75,0.8266
1,0.8,5000,0.82,0.844
1,0.9,100,0,0.7102
1,0.9,250,0.32,0.8029
1,0.9,500,0.52,0.8081
1,0.9,1000,0.66,0.8216
1,0.9,2500,0.79,0.822
1,0.9,5000,0.85,0.8214
1,0.925,100,0,0.743
1,0.925,250,0.34,0.8019
1,0.925,500,0.54,0.8124
1,0.925,1000,0.68,0.8079
1,0.925,2500,0.8,0.8057
1,0.925,5000,0.86,0.8019
1,0.975,100,0,0.8002
1,0.975,250,0.39,0.8029
1,0.975,500,0.58,0.806
1,0.975,1000,0.7,0.8248
1,0.975,2500,0.82,0.8008
1,0.975,5000,0.87,0.8146
1,1,100,0.03,0.804
1,1,250,0.41,0.8078
1,1,500,0.59,0.8108
1,1,1000,0.71,0.8297
1,1,2500,0.82,0.8244
1,1,5000,0.87,0.8531
