sim,sample_size,sensitivity,specificity,misrate,p,p_min,p_max,overall_or,or_t,theta0,theta1_true,theta1
10000,100,0.8,0.8,0,0.5332,0.523420134666587,0.542979865333413,3,3,0.25,0.5,0.5
10000,100,0.8,0.8,0.01,0.528,0.518213884409211,0.537786115590789,2.98205383848455,3,0.25,0.5,0.4985
10000,100,0.8,0.8,0.02,0.5062,0.496399257162832,0.516000742837168,2.96421471172962,3,0.25,0.5,0.497
10000,100,0.8,0.8,0.03,0.4944,0.484599118363955,0.504200881636045,2.94648166501487,3,0.25,0.5,0.4955
10000,100,0.8,0.8,0.04,0.4955,0.485698900563464,0.505301099436536,2.92885375494071,3,0.25,0.5,0.494
10000,100,0.8,0.8,0.05,0.4834,0.47360390688486,0.49319609311514,2.91133004926108,3,0.25,0.5,0.4925
10000,100,0.8,0.8,0.06,0.4753,0.465510470490047,0.485089529509953,2.89390962671906,3,0.25,0.5,0.491
10000,100,0.8,0.8,0.07,0.4629,0.4531255225907,0.4726744774093,2.87659157688541,3,0.25,0.5,0.4895
10000,100,0.8,0.8,0.08,0.4653,0.455522135852144,0.475077864147856,2.859375,3,0.25,0.5,0.488
10000,100,0.8,0.8,0.09,0.4533,0.443541349212068,0.463058650787932,2.84225900681597,3,0.25,0.5,0.4865
10000,100,0.8,0.8,0.1,0.4479,0.438151859379285,0.457648140620715,2.8252427184466,3,0.25,0.5,0.485
10000,100,0.8,0.8,0.11,0.4364,0.426678120276221,0.446121879723779,2.80832526621491,3,0.25,0.5,0.4835
10000,100,0.8,0.8,0.12,0.4252,0.415508803749567,0.434891196250433,2.79150579150579,3,0.25,0.5,0.482
10000,100,0.8,0.8,0.13,0.4191,0.409427652317694,0.428772347682306,2.77478344562079,3,0.25,0.5,0.4805
10000,100,0.8,0.8,0.14,0.401,0.391392553424681,0.410607446575319,2.75815738963532,3,0.25,0.5,0.479
10000,100,0.8,0.8,0.15,0.4019,0.392289006469013,0.411510993530987,2.74162679425837,3,0.25,0.5,0.4775
10000,100,0.8,0.8,0.16,0.3916,0.382031621976962,0.401168378023038,2.72519083969466,3,0.25,0.5,0.476
10000,100,0.8,0.8,0.17,0.3871,0.377551640171447,0.396648359828553,2.70884871550904,3,0.25,0.5,0.4745
10000,100,0.8,0.8,0.18,0.3805,0.370982555202151,0.390017444797849,2.69259962049336,3,0.25,0.5,0.473
10000,100,0.8,0.8,0.19,0.3613,0.351883168065239,0.370716831934761,2.67644276253548,3,0.25,0.5,0.4715
10000,100,0.8,0.8,0.2,0.3717,0.362226680361696,0.381173319638304,2.66037735849057,3,0.25,0.5,0.47
10000,100,0.8,0.8,0.21,0.3413,0.332005321837428,0.350594678162572,2.64440263405456,3,0.25,0.5,0.4685
10000,100,0.8,0.8,0.22,0.344,0.334687773695411,0.353312226304589,2.62851782363978,3,0.25,0.5,0.467
10000,100,0.8,0.8,0.23,0.3376,0.328329914035902,0.346870085964098,2.61272217025257,3,0.25,0.5,0.4655
10000,100,0.8,0.8,0.24,0.3256,0.316414065178956,0.334785934821044,2.59701492537313,3,0.25,0.5,0.464
10000,100,0.8,0.8,0.25,0.3143,0.3051995756068,0.3234004243932,2.58139534883721,3,0.25,0.5,0.4625
10000,100,0.8,0.8,0.26,0.3147,0.305596442953895,0.323803557046105,2.56586270871985,3,0.25,0.5,0.461
10000,100,0.8,0.8,0.27,0.3052,0.296172976975917,0.314227023024083,2.55041628122109,3,0.25,0.5,0.4595
10000,100,0.8,0.8,0.28,0.2986,0.289628807759886,0.307571192240114,2.53505535055351,3,0.25,0.5,0.458
