or,theta,sample_size,misrate,p_80
1.25,0.05,100,0,0.0611
1.25,0.05,250,0,0.0881
1.25,0.05,500,0,0.127
1.25,0.05,1000,0,0.2102
1.25,0.05,2500,0,0.4394
1.25,0.05,5000,0,0.7203
1.25,0.1,100,0,0.0842
1.25,0.1,250,0,0.1207
1.25,0.1,500,0,0.1935
1.25,0.1,1000,0,0.35
1.25,0.1,2500,0,0.6974
1.25,0.1,5000,0.2,0.8063
1.25,0.25,100,0,0.108
1.25,0.25,250,0,0.2
1.25,0.25,500,0,0.3529
1.25,0.25,1000,0,0.6144
1.25,0.25,2500,0.2,0.8024
1.25,0.25,5000,0.44,0.8011
1.25,0.5,100,0,0.1335
1.25,0.5,250,0,0.245
1.25,0.5,500,0,0.4353
1.25,0.5,1000,0,0.7079
1.25,0.5,2500,0.28,0.8053
1.25,0.5,5000,0.49,0.8072
1.25,0.05,100,0,0.0997
1.25,0.05,250,0,0.1869
1.25,0.05,500,0,0.3322
1.25,0.05,1000,0,0.5762
1.25,0.05,2500,0.19,0.8037
1.25,0.05,5000,0.44,0.8015
1.25,0.1,100,0,0.1507
1.25,0.1,250,0,0.3186
1.25,0.1,500,0,0.5532
1.25,0.1,1000,0.05,0.8014
1.25,0.1,2500,0.41,0.8102
1.25,0.1,5000,0.59,0.809
1.25,0.25,100,0,0.2603
1.25,0.25,250,0,0.535
1.25,0.25,500,0.03,0.8029
1.25,0.25,1000,0.32,0.8031
1.25,0.25,2500,0.57,0.8215
1.25,0.25,5000,0.7,0.8103
1.25,0.5,100,0,0.3107
1.25,0.5,250,0,0.6289
1.25,0.5,500,0.14,0.8029
1.25,0.5,1000,0.38,0.8019
1.25,0.5,2500,0.6,0.8087
1.25,0.5,5000,0.72,0.8021
1.25,0.05,100,0,0.2275
1.25,0.05,250,0,0.5006
1.25,0.05,500,0,0.7979
1.25,0.05,1000,0.31,0.8168
1.25,0.05,2500,0.59,0.8002
1.25,0.05,5000,0.71,0.8073
1.25,0.1,100,0,0.3814
1.25,0.1,250,0,0.7604
1.25,0.1,500,0.27,0.8145
1.25,0.1,1000,0.5,0.8
1.25,0.1,2500,0.69,0.8064
1.25,0.1,5000,0.78,0.8237
1.25,0.25,100,0,0.6307
1.25,0.25,250,0.22,0.8084
1.25,0.25,500,0.46,0.8041
1.25,0.25,1000,0.62,0.8152
1.25,0.25,2500,0.76,0.8214
1.25,0.25,5000,0.83,0.8273
1.25,0.5,100,0,0.6876
1.25,0.5,250,0.26,0.8015
1.25,0.5,500,0.47,0.8059
1.25,0.5,1000,0.62,0.8114
1.25,0.5,2500,0.76,0.8062
1.25,0.5,5000,0.83,0.8095
1.25,0.05,100,0.24,0.8038
1.25,0.05,250,0.56,0.8157
1.25,0.05,500,0.71,0.8056
1.25,0.05,1000,0.8,0.8134
1.25,0.05,2500,0.88,0.8143
1.25,0.05,5000,0.91,0.8648
1.25,0.1,100,0.42,0.8114
1.25,0.1,250,0.66,0.8
1.25,0.1,500,0.76,0.8237
1.25,0.1,1000,0.84,0.8085
1.25,0.1,2500,0.9,0.8228
1.25,0.1,5000,0.93,0.8304
1.25,0.25,100,0.5,0.8001
1.25,0.25,250,0.69,0.804
1.25,0.25,500,0.78,0.8164
1.25,0.25,1000,0.85,0.8067
1.25,0.25,2500,0.9,0.8464
1.25,0.25,5000,0.93,0.8432
1.25,0.5,100,0.42,0.8052
1.25,0.5,250,0.62,0.826
1.25,0.5,500,0.74,0.8015
1.25,0.5,1000,0.81,0.8119
1.25,0.5,2500,0.88,0.8092
1.25,0.5,5000,0.91,0.8521
1.25,0.05,100,0.59,0.8132
1.25,0.05,250,0.76,0.826
1.25,0.05,500,0.84,0.8182
1.25,0.05,1000,0.89,0.8415
1.25,0.05,2500,0.93,0.8729
1.25,0.05,5000,0.95,0.8916
1.25,0.1,100,0.65,0.8062
1.25,0.1,250,0.79,0.8187
1.25,0.1,500,0.86,0.8053
1.25,0.1,1000,0.9,0.8362
1.25,0.1,2500,0.94,0.8097
1.25,0.1,5000,0.95,0.924
1.25,0.25,100,0.63,0.8254
1.25,0.25,250,0.77,0.8224
1.25,0.25,500,0.84,0.828
1.25,0.25,1000,0.89,0.8124
1.25,0.25,2500,0.93,0.8276
1.25,0.25,5000,0.95,0.841
1.25,0.5,100,0.53,0.8012
1.25,0.5,250,0.7,0.8018
1.25,0.5,500,0.78,0.8145
1.25,0.5,1000,0.84,0.8426
1.25,0.5,2500,0.9,0.8249
1.25,0.5,5000,0.93,0.8196
