virus,cohort,n,exposed,nexposed,pos,neg,odds,or,or_se,or_lower,or_upper,or_p
CMV,CFSsa,54,18,36,0.333333333333333,0.666666666666667,0.5,0.8375,0.351082193321823,0.420865291238645,1.6665813613085,0.613483801392772
CMV,CFSmm,197,57,140,0.289340101522843,0.710659898477157,0.407142857142857,0.681964285714286,0.254189083019528,0.414376856637349,1.12234860499658,0.132098251151626
CMV,CFS,251,75,176,0.298804780876494,0.701195219123506,0.426136363636364,0.713778409090909,0.242776697089074,0.443518263008622,1.14872297214612,0.164875485394375
CMV,Control,107,40,67,0.373831775700935,0.626168224299065,0.597014925373134,1,0.199813345736286,0.675956224783368,1.47938574028293,1
EBV,CFSsa,54,48,6,0.888888888888889,0.111111111111111,8,0.646464646464646,0.56797976205232,0.212363331300794,1.96793173552509,0.44245757391857
EBV,CFSmm,197,171,26,0.868020304568528,0.131979695431472,6.57692307692308,0.531468531468532,0.423568768653831,0.231704871783004,1.21904558056011,0.135608381611236
EBV,CFS,251,219,32,0.872509960159363,0.127490039840637,6.84375,0.553030303030303,0.413421359083771,0.245948416101615,1.24352301558807,0.151920285399158
EBV,Control,107,99,8,0.925233644859813,0.0747663551401869,12.375,1,0.367560893051764,0.486554619915047,2.05526771110426,1
HSV1,CFSsa,54,29,25,0.537037037037037,0.462962962962963,1.16,1.59822222222222,0.335907744925562,0.827393251062828,3.08718287020567,0.162746153504456
HSV1,CFSmm,197,82,115,0.416243654822335,0.583756345177665,0.71304347826087,0.982415458937198,0.243396854140351,0.609698897772353,1.58297831517345,0.941894341057452
HSV1,CFS,251,111,140,0.442231075697211,0.557768924302789,0.792857142857143,1.09238095238095,0.23345903416264,0.691279103135648,1.72621469347463,0.70507373433141
HSV1,Control,107,45,62,0.420560747663551,0.579439252336449,0.725806451612903,1,0.19583476320686,0.681247854200977,1.46789453182628,1
HSV2,CFSsa,54,22,32,0.407407407407407,0.592592592592593,0.6875,1.35590277777778,0.344335345665496,0.690446087290349,2.66273120614032,0.376578577141046
HSV2,CFSmm,197,76,121,0.385786802030457,0.614213197969543,0.628099173553719,1.23875114784206,0.251564390100807,0.756575150386222,2.02822469849382,0.394719809279491
HSV2,CFS,251,98,153,0.390438247011952,0.609561752988048,0.640522875816993,1.26325344952796,0.242079148554977,0.786017740094746,2.03024587912218,0.334370798133067
HSV2,Control,107,36,71,0.336448598130841,0.663551401869159,0.507042253521127,1,0.204602748808591,0.66964067341163,1.4933382031669,1
VZV,CFSsa,54,52,2,0.962962962962963,0.0370370370370371,26,0.749999999999999,0.928536206714357,0.121531766712203,4.62841950888481,0.756695396963238
VZV,CFSmm,197,190,7,0.964467005076142,0.0355329949238579,27.1428571428572,0.782967032967033,0.700763168767165,0.198268073020809,3.09196213678265,0.726983956764006
VZV,CFS,251,242,9,0.964143426294821,0.0358565737051793,26.8888888888889,0.775641025641026,0.676898855416958,0.205818032190685,2.92306264059545,0.70740954900571
VZV,Control,107,104,3,0.97196261682243,0.0280373831775701,34.6666666666667,1,0.585618235669551,0.317337103991852,3.15122306033799,1
HHV6,CFSsa,54,52,2,0.962962962962963,0.0370370370370371,26,1.27450980392157,0.853835283177848,0.239087719644684,6.79405551529886,0.776345384807529
HHV6,CFSmm,197,177,20,0.898477157360406,0.101522842639594,8.85,0.433823529411765,0.515221931872811,0.15803577107888,1.19088769198553,0.105041496382053
HHV6,CFS,251,229,22,0.912350597609562,0.0876494023904383,10.4090909090909,0.510249554367201,0.509534374944662,0.187960325230591,1.38515725280068,0.186658177355798
HHV6,Control,107,102,5,0.953271028037383,0.0467289719626168,20.4,1,0.458043580425081,0.407485911060763,2.45407257737282,1
