sensitivity,specificity,sample_size,misrate,p_80
0.8,0.8,100,0,0.1127
0.8,0.8,250,0,0.2096
0.8,0.8,500,0,0.3743
0.8,0.8,1000,0,0.6434
0.8,0.8,2500,0.23,0.8025
0.8,0.8,5000,0.45,0.8189
0.8,0.9,100,0,0.145
0.8,0.9,250,0,0.2972
0.8,0.9,500,0,0.5164
0.8,0.9,1000,0,0.8119
0.8,0.9,2500,0.37,0.8163
0.8,0.9,5000,0.56,0.8142
0.8,0.925,100,0,0.1567
0.8,0.925,250,0,0.32
0.8,0.925,500,0,0.5642
0.8,0.925,1000,0.06,0.8141
0.8,0.925,2500,0.41,0.808
0.8,0.925,5000,0.58,0.8206
0.8,0.975,100,0,0.1781
0.8,0.975,250,0,0.3897
0.8,0.975,500,0,0.6568
0.8,0.975,1000,0.16,0.8028
0.8,0.975,2500,0.47,0.8182
0.8,0.975,5000,0.63,0.8127
0.8,1,100,0,0.1979
0.8,1,250,0,0.4284
0.8,1,500,0,0.7038
0.8,1,1000,0.2,0.8151
0.8,1,2500,0.5,0.8106
0.8,1,5000,0.65,0.8182
0.9,0.8,100,0,0.14
0.9,0.8,250,0,0.2622
0.9,0.8,500,0,0.4659
0.9,0.8,1000,0,0.7521
0.9,0.8,2500,0.33,0.8044
0.9,0.8,5000,0.53,0.8025
0.9,0.9,100,0,0.1749
0.9,0.9,250,0,0.3627
0.9,0.9,500,0,0.6079
0.9,0.9,1000,0.11,0.8035
0.9,0.9,2500,0.44,0.8079
0.9,0.9,5000,0.61,0.8076
0.9,0.925,100,0,0.1845
0.9,0.925,250,0,0.3725
0.9,0.925,500,0,0.6444
0.9,0.925,1000,0.16,0.8039
0.9,0.925,2500,0.47,0.8051
0.9,0.925,5000,0.63,0.8029
0.9,0.975,100,0,0.2076
0.9,0.975,250,0,0.4489
0.9,0.975,500,0,0.7347
0.9,0.975,1000,0.23,0.8084
0.9,0.975,2500,0.52,0.805
0.9,0.975,5000,0.66,0.8094
0.9,1,100,0,0.2244
0.9,1,250,0,0.4823
0.9,1,500,0,0.7633
0.9,1,1000,0.27,0.8037
0.9,1,2500,0.55,0.8002
0.9,1,5000,0.68,0.8084
0.925,0.8,100,0,0.142
0.925,0.8,250,0,0.2816
0.925,0.8,500,0,0.501
0.925,0.8,1000,0,0.7821
0.925,0.8,2500,0.35,0.8123
0.925,0.8,5000,0.54,0.8104
0.925,0.9,100,0,0.1797
0.925,0.9,250,0,0.3649
0.925,0.9,500,0,0.6266
0.925,0.9,1000,0.14,0.8005
0.925,0.9,2500,0.45,0.8139
0.925,0.9,5000,0.61,0.8168
0.925,0.925,100,0,0.194
0.925,0.925,250,0,0.3977
0.925,0.925,500,0,0.671
0.925,0.925,1000,0.17,0.8077
0.925,0.925,2500,0.48,0.8105
0.925,0.925,5000,0.63,0.8187
0.925,0.975,100,0,0.2217
0.925,0.975,250,0,0.4661
0.925,0.975,500,0,0.7514
0.925,0.975,1000,0.25,0.801
0.925,0.975,2500,0.53,0.8029
0.925,0.975,5000,0.66,0.8252
0.925,1,100,0,0.2303
0.925,1,250,0,0.4978
0.925,1,500,0,0.7811
0.925,1,1000,0.29,0.8026
0.925,1,2500,0.55,0.8097
0.925,1,5000,0.68,0.8267
0.975,0.8,100,0,0.1651
0.975,0.8,250,0,0.3183
0.975,0.8,500,0,0.5485
0.975,0.8,1000,0.03,0.8078
0.975,0.8,2500,0.39,0.8045
0.975,0.8,5000,0.56,0.8194
0.975,0.9,100,0,0.1943
0.975,0.9,250,0,0.396
0.975,0.9,500,0,0.6831
0.975,0.9,1000,0.17,0.8187
0.975,0.9,2500,0.49,0.8014
0.975,0.9,5000,0.63,0.8194
0.975,0.925,100,0,0.2081
0.975,0.925,250,0,0.4223
0.975,0.925,500,0,0.706
0.975,0.925,1000,0.21,0.8056
0.975,0.925,2500,0.5,0.8121
0.975,0.925,5000,0.65,0.8099
0.975,0.975,100,0,0.229
0.975,0.975,250,0,0.488
0.975,0.975,500,0,0.7771
0.975,0.975,1000,0.28,0.8017
0.975,0.975,2500,0.55,0.8052
0.975,0.975,5000,0.68,0.8125
0.975,1,100,0,0.2529
0.975,1,250,0,0.5224
0.975,1,500,0.02,0.8018
0.975,1,1000,0.3,0.8114
0.975,1,2500,0.57,0.8014
0.975,1,5000,0.69,0.8214
1,0.8,100,0,0.1644
1,0.8,250,0,0.3405
1,0.8,500,0,0.5684
1,0.8,1000,0.06,0.8047
1,0.8,2500,0.41,0.8094
1,0.8,5000,0.58,0.8061
1,0.9,100,0,0.1965
1,0.9,250,0,0.4132
1,0.9,500,0,0.694
1,0.9,1000,0.2,0.8075
1,0.9,2500,0.5,0.8053
1,0.9,5000,0.64,0.8183
1,0.925,100,0,0.208
1,0.925,250,0,0.4441
1,0.925,500,0,0.7344
1,0.925,1000,0.23,0.8051
1,0.925,2500,0.51,0.8059
1,0.925,5000,0.66,0.8012
1,0.975,100,0,0.2439
1,0.975,250,0,0.5054
1,0.975,500,0,0.7912
1,0.975,1000,0.29,0.8056
1,0.975,2500,0.56,0.8033
1,0.975,5000,0.69,0.8015
1,1,100,0,0.2563
1,1,250,0,0.5384
1,1,500,0.03,0.8018
1,1,1000,0.32,0.8094
1,1,2500,0.57,0.8151
1,1,5000,0.7,0.8071
